globalid,name,address,latitude,longitude,restroom_open_status,advertised_hours,ada_accessible,gender_neutral,baby_changing,showers,menstrual_products,category,operated_by,restroom_assessed,restroom_assessment_date,public_buildings,outdoor_facilities,government_facilities,commercial,transportation_mts,other,notes,timestamp,place_id,action,researcher_name,audit_datetime,restroom_name,open_when_visited,access_method,findability,showers_available,water_refill_nearby,visible_signage,security_cameras,access_barriers,overall_impressions,outside_context,approved
03a2c2a3-c821-433e-868e-7200fd27a297,Civic Center Branch Library,"365 F St, Chula Vista, CA 91910",32.64101333,-117.0832418,,Sun 1:00pm - 5:00pm; Mon - Thurs 10:00am - 8:00pm; Fri - Sat 10:00am - 5:00pm,,,,,,,City of Chula Vista,,,,,,,,,,,,,,,,,,,,,,,,,,
8a2973b0-2039-418e-905f-f73e137542ac,South Chula Vista Branch Library,"389 Orange Ave, Bonita, CA 91911",32.60183868,-117.0685,,"Mon - Tues 11:30am - 8:00pm, Wed - Sat 9:30am - 6:00pm, Sun closed",,,,,,,City of Chula Vista,,,,,,,,,,,,,,,,,,,,,,,,,,
cbf732cb-d946-4234-819e-6badc34268a9,Ocean Beach Recreation Center,"4726 Santa Monica Ave, San Diego, CA 92107",32.74499642,-117.2454987,,Mon 10:00am - 8:00pm; Tues - Thurs 9:00am - 8:00pm; Fri 9:00am - 7:00pm; Sat 9:00am - 4:00pm; Sun Closed,,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
0dac38e1-2b01-4fe8-bf18-7db9db24edff,Carlsbad City Library,"1775 Dove Ln, Carlsbad, CA 92011",33.10512222,-117.2694893,,"Sun Closed, Mon & Wed - Thurs 10:00am - 6:00pm, Tues 12:00pm - 7:00pm, Fri - Sat 10:00am - 5:00pm",,,,,,,City of Carlsbad,,,,,,,,,,,,,,,,,,,,,,,,,,
24b9e149-d179-4519-a498-fc98f5bcb2aa,Presidio Recreation Center,"2811 Jackson St, San Diego, CA 92110",32.75833109,-117.1959942,,Mon - Fri 12:00pm - 8:00pm;  Sat 9:00am - 2:00pm; Sun Closed,,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
548d0123-7d88-4f94-a6a7-b984229648ec,Colina Del Sol Park Recreation Center,"5319 Orange Ave, San Diego, CA 92115",32.75275073,-117.0800825,,Mon - Thurs 11:00am - 9:00pm; Fri 12:00pm - 7:00pm; Sat 9:00am - 5:00pm; Sun 12:00pm - 5:00pm,,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
66d564c0-34b5-4409-813f-af2ce32a1155,Linda Vista Gymnasium,"7064 Levant St, San Diego, CA 92111",32.79221004,-117.169974,1,Sun 9:00am - 3:00pm; Mon - Thurs 10:00am - 8:00pm; Fri 11:00am - 7:00pm; Sat 9:00am - 3:00pm,1,0,0,1,2,1,City of San Diego,3,6/13/24 17:13,2,,,,,,,,,,,,,,,,,,,,,,,
e519bc17-1204-42ee-9f41-314062b8cb84,Montgomery-Waller Recreation Center,"3020 Coronado Ave, San Diego, CA 92154",32.57902921,-117.0688667,,Mon - Thurs 11:00am - 8:00pm; Fri 11:00am - 6:00pm;  Sat - Sun 9:00am - 5:00pm,,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
14bdc7bc-5509-4bd2-930f-ee42848684a7,Paradise Hills Recreation Center,"6610 Potomac St, San Diego, CA 92139",32.68517832,-117.0509546,,Mon - Thurs 11:00am - 9:00pm; Fri 11:00am - 7:00pm; Sat - Sun 9:00am - 3:00pm,,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
288cba29-93d8-4e97-a877-fb1369d8acfc,Cabrillo Recreation Center,"3051 Cañon St, San Diego, CA 92106",32.72179338,-117.2327009,,Mon - Thurs 12:00pm - 7:00pm; Fri 11:00am - 6:00pm; Sat 9:00am - 2:00pm; Sun Closed,,,,,,,City of San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,
